"key","Packagesize","Price","Price_per_unit","Product_image","Product_title"
"","150ml","$5.49","$3.66 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/9/c/csm_1001349_ALN-1_1x1_Q3_WEB-AUDIT_228x128_36_a9c78644f4.jpg","LACURA"
"","150ml","$5.49","$3.66 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/3/d/csm_1001349_ALN-1_1x1_Q3_WEB-AUDIT_228x128_55_1b1786c150.jpg","LACURA"
"","150ml","$5.49","$3.66 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/0/d/csm_ALN3708_Q4-WEB_EXISTING_1x1_228x128_17_fdbceb9436.jpg","LACURA® Naturals Invigorating Facial Exfoliating Scrub 150ml"
"","50ml","$8.99","$17.98 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_24_5c2b19ebbd.jpg","LACURA"
"","50ml","$8.99","$17.98 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_23_0f2c752a68.jpg","LACURA"
"","25pk","$2.99","12c each","https://www.aldi.com.au/fileadmin/_processed_/9/a/csm_ALN3708_Q4-WEB_NEW-1x1_228x128_7_f8890749fc.jpg","LACURA® Naturals Premium Cleansing Makeup Wipes 25pk"
"","ea","$2.99","$3.99 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/1/7/csm_1001137-1_ALN_Q2_WEB_AUDIT_1x1_228x128__ef69989225.jpg","PRINCE Anti-perspirant Roll-on Deodorant 75ml"
"","null","$4.79","60c per razor","https://www.aldi.com.au/fileadmin/_processed_/3/3/csm_1001605-10_1x1_Q4_WEB-AUDIT_BEAUTY_228x128_5_793113799a.jpg","Prince Maximum 3 Blade Disposable Razors 8pk"
"","ea","$4.29","43c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_1001829-5_Q1-WEB-AUDIT_BEAUTY_1x1_228x128_8_RET_e6f12c750e.png","Prince"
"","ea","$1.99","80c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/9/b/csm_1001829-5_Q1-WEB-AUDIT_BEAUTY_1x1_228x128_3_RET_df8d97e15d.png","Tricare Liquid Soap 250ml"
"","ea","$3.19","32c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/6/0/csm_1001829-5_Q1-WEB-AUDIT_BEAUTY_1x1_228x128_4_RET_99d56091c5.png","Tricare Liquid Soap Refill 1L"
"","ea","$3.49","70c per 100g","https://www.aldi.com.au/fileadmin/_processed_/5/8/csm_1001829-5_Q1-WEB-AUDIT_BEAUTY_1x1_228x128_5_RET_4f85615729.png","Juliet Soap Bar 5 Pack"
"","1L","$4.29","43c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/c/d/csm_1001605-10_1x1_Q4_WEB-AUDIT_BEAUTY_228x128_1_21038d21fa.jpg","Juliet Assorted Body Shower Gel 1L"
"","ea","$2.39","48c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_1001829-5_Q1-WEB-AUDIT_BEAUTY_1x1_228x128_7_RET_e234bc88f6.png","Juliet"
"","8pk","$4.29","54c per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_1001829-5_Q1-WEB-AUDIT_BEAUTY_1x1_228x128_6_RET_20c999955b.png","Tricare"
"","250ml","$2.49","$1.00 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/0/6/csm_1001605-10_1x1_Q4_WEB-AUDIT_BEAUTY_228x128_2_2758005c84.jpg","Tricare Antibacterial Foaming Hand Wash 250ml"
"","500ml","$1.69","34c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/4/1/csm_1001829-5_Q1-WEB-AUDIT_BEAUTY_1x1_228x128_2_RET_3408491a0f.png","Tricare Foaming Hand Wash Refill 500ml"
"","400ml","$2.99","75c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/5/a/csm_1002179-1_Q2_WEB_AUDIT_1x1_228x128_2_RET_8bdd94d41a.png","Natures Essence Organic Elements Shampoo or Conditioner 400ml"
"","400g","$4.39","$1.10 per 100g","https://www.aldi.com.au/fileadmin/_processed_/a/8/csm_1001605-10_1x1_Q4_WEB-AUDIT_BEAUTY_228x128_7_b2594a8c2d.jpg","Protane Hair Spray 400g"
"","ea","$2.89","$2.89 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/3/d/csm_1000855_ALN-10_1x1_Q1_WEB-AUDIT_228x128_27_2875091ef9.jpg","Ombra Sunscreen SPF50+ 100ml"
"","3pk","$3.99","$1.33 per 100g","https://www.aldi.com.au/fileadmin/_processed_/d/9/csm_1000855_ALN-10_1x1_Q1_WEB-AUDIT_228x128_26_fff5c3c06f.jpg","Tricare Goat’s Milk Soap 3 pack"
"","ea","$5.99","$1.50 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_1001272_ALN_JULY-SSV__B1__1x1_228x128_24_93c0c70100.jpg","Protane Argan Oil or Coconut Milk Shampoo 400ml"
