"key","Brand","Product_id","Product_url","Sku_name"
"","O'Neill","6901776318507","null","Defender 3/2mm Back Zip Full Suit"
"","JS Surfboards","6895630778411","null","Schooner"
"","Carver","6895744581675","null","31"" Jamie O'Brien - C7 Complete"
"","Carver","6895744319531","null","30.75"" AIPA Sting - C7 Complete"
"","FCS","6890674159659","https://www.surffcs.com.au/products/fcs-ii-gerry-lopez-tri-fins","FCS II Gerry Lopez PC Tri Quad Fins"
"","FCS","6890669932587","null","FCS II Gerry Lopez PC Tri Fins"
"","O'Neill","6830503788587","null","Carnero Change Towel"
"","Ocean & Earth","6830524104747","null","Mens Scunno"
"","O'Neill","6830504804395","null","Boys Alldaze Change Towel"
"","Hydro Flask","6808957812779","null","Hydration 24oz Standard"
"","O'Neill","6830537769003","null","Hyperfreak Expression"
"","Yow","6571302846507","null","Skalle 34"" Christenson x Yow Surfskate"
"","Rip Curl","4831790530603","null","G-Bomb Madi Long Sleeve Boyleg 1mm Spring Wetsuit"
"","FCS","6688640729131","null","FCS Bodyboard Wrist Leash"
"","Rip Curl","4405862924331","null","E-Bomb 1.5mm Chameleon Long Sleeve Jacket"
"","Rip Curl","4831797772331","null","G BOMB Long Sleeve Back Zip 2mm Spring Wetsuit"
"","Pyzel","6794959978539","null","Astro Pop XL"
"","FCS","6841722306603","null","Travel 2 All Purpose"
"","Pyzel","6794816192555","https://surfboardempire.com.au/products/ghostswallowtail","Ghost XL"
"","Channel Islands","6830419673131","null","Happy Everyday"
"","Vissla","6830526791723","null","Easy Seas 3-2 Full Back Zip"
"","Captain Fin Co","6830532001835","null","Chris Christenson Especial Keel Fin"
"","JS Surfboards","6831232090155","null","Sub Xero HYFI 2.0"
"","O'Neill","6830419312683","null","Womens Hyperfreak 1.5mm Long Sleeve Crew"
"","Rage","6883569041451","null","Shaun Manners Traction"
"","Rage","6883568844843","null","Rage Thick Rope Leash"
"","Rage","6883568877611","null","Rage Light Rope Leash"
"","Rage","6883568975915","null","Noa Deane Front Pad Traction"
"","Rage","6883568910379","null","Creed Mctaggart Traction"
"","Rage","6883569008683","null","Beau Foster Traction"
"","Rip Curl","1809679777835","null","E-Bomb E6 1.5mm Long Sleeve GB Wetsuit Jacket"
"","Hydro Flask","6808957911083","null","Hydration 20oz Wide"
"","MF Softboards","4849022074923","null","Super Soft Softboard"
"","JS Surfboards","6830420000811","null","Red Baron Softboard"
"","Pyzel","6794958503979","null","Pyzalien 2 XL"
"","Firewire","6830420525099","null","Sweet Potato"
"","Creatures","6816907591723","null","Reliance Longboard Ankle"
"","Thunderbolt","4419839557675","null","Moe - Thunderbolt Red"
"","Creatures","6816910966827","null","Reliance Longboard Knee Leash"
"","Pyzel","6794963812395","null","Phantom Electralite EPS"
"","Creatures","6816885538859","null","Reliance Comp 6 Leash"
"","FCS","6876531621931","null","FCS II HS PC Carbon Tri-Quad Fins"
"","Firewire","6875401781291","null","Revo"
"","FCS","6841723093035","null","Travel 1 Long Board Cover"
"","Rip Curl","6846116659243","null","Dawn Patrol Performance 2/2mm Chest Zip Short Sleeve Full Suit"
"","Ocean & Earth","6846743740459","null","Triple Coffin Short/Fish Cover"
"","Ocean & Earth","6847230214187","null","O&E Diamond Flex 8ft Longboard Leash"
"","Ocean & Earth","6847230476331","null","One XT Longboard Premium 9'0"" Leash"
"","Ocean & Earth","6847244009515","null","Aircon Longboard Cover"
"","Ocean & Earth","6847315345451","null","Triple Compact Shortboard Cover"
"","Captain Fin Co","6859993055275","null","Josh Hall Single Fin"
"","Captain Fin Co","6860058951723","null","Jeff McCallum Glow Glass"
"","Captain Fin Co","6860085624875","null","Dion Agius Flowers Tri Fins"
"","Captain Fin Co","6861202653227","null","Alex Knost Classic Single Fin"
"","Captain Fin Co","6861205635115","null","Mikey February Tri Fins"
"","Captain Fin Co","6861236371499","null","Timmy Patterson Tri Fins"
"","Captain Fin Co","6859872829483","null","Tyler Warren Twin + Trailer Fins"
"","Captain Fin Co","6861241188395","null","Tyler Warren Honeycomb Twin + Trailer Fins"
"","Captain Fin Co","6861241352235","null","Tyler Warren Twin Fins"
"","Captain Fin Co","6861241450539","null","Wade Goodall Tri Fins"
