"key","Image_url","Price_now","Price_was","Product_url","Sku_name"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/6411/21031/nomad_design_maverick_68_lure_colours__98925.1670560811.jpg?c=2","18.99","null","https://tackleworldadelaide.com.au/nomad-maverick-68-floating-surface-lure/","Nomad Maverick 68 Floating Surface Lure"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5803/17853/P-OCEA-BUBBLE-DIP-2__52018.1657002700.jpg?c=2","39.99","49.95","https://tackleworldadelaide.com.au/shimano-ocea-bubble-dip-flash-boost-220mm/","Shimano Ocea Bubble Dip Flash Boost 220mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5793/17798/l1SWKgkk__72424.1641859403.jpg?c=2","69.99","null","https://tackleworldadelaide.com.au/buku-pop-h-210mm-popper/","Buku Pop H 210mm Popper"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5792/17797/l1SWKgkk__86223.1641859316.jpg?c=2","64.99","null","https://tackleworldadelaide.com.au/buku-pop-h-190mm-popper/","Buku Pop H 190mm Popper"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/5791/17795/9OSKD2o0__54091.1641859079.jpg?c=2","69.99","null","https://tackleworldadelaide.com.au/buku-pop-p-210mm-popper/","Buku Pop P 210mm Popper"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7327/25097/lures_colour_chart_v2__02656.1706837421.jpg?c=2","10.00","18.95","https://tackleworldadelaide.com.au/storm-gomoku-kensaki-jig-fishing-lure-80g-clearance/","Storm Gomoku Kensaki Jig Fishing Lure 80g *Clearance*"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7324/25094/lures_colour_chart_v2__41475.1706835602.jpg?c=2","10.00","15.95","https://tackleworldadelaide.com.au/storm-gomoku-kensaki-jig-fishing-lure-40g-clearance/","Storm Gomoku Kensaki Jig Fishing Lure 40g *Clearance*"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7322/25085/lures_colour_chart_v2__99424.1706675500.jpg?c=2","10.00","18.95","https://tackleworldadelaide.com.au/storm-gomoku-slow-rocker-fishing-lure-120g-clearance/","Storm Gomoku Slow Rocker Fishing Lure 120g *Clearance*"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7321/25082/lures_colour_chart_v2__98097.1706666992.jpg?c=2","10.00","14.95","https://tackleworldadelaide.com.au/storm-gomoku-koika-jig-fishing-lure-30g-clearance/","Storm Gomoku Koika Jig Fishing Lure 30g *Clearance*"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7318/25076/lures_colour_chart_v2__58765.1706594048.jpg?c=2","10.00","21.95","https://tackleworldadelaide.com.au/storm-gomoku-koika-jig-fishing-lure-150g-clearance/","Storm Gomoku Koika Jig Fishing Lure 150g *Clearance*"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7317/25080/lures_colour_chart_v3__45511.1706662969.jpg?c=2","10.00","19.95","https://tackleworldadelaide.com.au/storm-gomoku-koika-jig-fishing-lure-100g-clearance/","Storm Gomoku Koika Jig Fishing Lure 100g *Clearance*"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7100/24254/Wing_Fall_Slow_Fall_Jig_Colour_Chart__76484.1697758251.jpg?c=2","19.95","null","https://tackleworldadelaide.com.au/shimano-wing-fall-slow-fall-jig-160g/","Shimano Wing Fall Slow Fall Jig 160g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7099/24255/Wing_Fall_Slow_Fall_Jig_Colour_Chart_100G__29687.1697759130.jpg?c=2","19.95","null","https://tackleworldadelaide.com.au/shimano-wing-fall-slow-fall-jig-130g/","Shimano Wing Fall Slow Fall Jig 130G"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7098/24256/Wing_Fall_Slow_Fall_Jig_Colour_Chart_100G__36356.1697759327.jpg?c=2","19.95","null","https://tackleworldadelaide.com.au/shimano-wing-fall-slow-fall-jig-100g/","Shimano Wing Fall Slow Fall Jig 100G"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7094/24257/Ocea_Easy_Pebble_Colour_Chart__79707.1697760719.jpg?c=2","33.99","39.99","https://tackleworldadelaide.com.au/shimano-ocea-easy-pebble-jig-350g/","Shimano Ocea Easy Pebble Jig 350g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7093/24258/Ocea_Easy_Pebble_Colour_Chart_290g__68778.1697761056.jpg?c=2","28.99","39.90","https://tackleworldadelaide.com.au/shimano-ocea-easy-pebble-jig-290g/","Shimano Ocea Easy Pebble Jig 290g"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7091/24259/Ocea_Easy_Pebble_Colour_Chart_v2__69962.1697761192.jpg?c=2","27.99","39.99","https://tackleworldadelaide.com.au/shimano-ocea-easy-pebble-jig-250g/","Shimano Ocea Easy Pebble Jig 250g"
